123, pin=1234, blocked=false, ron=1424.0, euro=100.0, lire=110.0, dollar=200.0 | 2,[100, ron]
unregistered user | 2,[100, £]
123, pin=1234, blocked=false, ron=1424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
045, pin=2345, blocked=false, ron=1200.0, euro=120.0, lire=200.0, dollar=100.0 | 2,[100, ron]
123, pin=1234, blocked=false, ron=1424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
unregistered user | 0,[2000, £]
unregistered user | 1,[200, ron]
unregistered user | 0,[200, ron]
unregistered user | 0,[200, ron]
unregistered user | 1,[200, ron]
unregistered user | 0,[100, ron]
045, pin=2345, blocked=false, ron=1200.0, euro=120.0, lire=200.0, dollar=100.0 | 1,[2000, ron]
unregistered user | 0,[100, r]
unregistered user | 2,[100, £]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 2,[1000, ron]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 1,[950, ron]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
unregistered user | 1,[100, ron]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
123, pin=1234, blocked=false, ron=2424.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
unregistered user | 0,[100, ron]
123, pin=1234, blocked=false, ron=2524.0, euro=100.0, lire=110.0, dollar=200.0 | 2,[100, ron]
123, pin=1234, blocked=false, ron=2524.0, euro=100.0, lire=110.0, dollar=200.0 | 3,[100, £]
123, pin=1234, blocked=false, ron=2524.0, euro=100.0, lire=110.0, dollar=200.0 | 0,[]
unregistered user | 1,[100, ron]
123, pin=1234, blocked=false, ron=2524.0, euro=100.0, lire=110.0, dollar=200.0 | 3,[100, $]
